cvsin_type_2
Start(mV):	7.670000e+02
End(mV):	7.670000e+02
Max(mV):	7.750000e+02
Min(mV):	7.050000e+02
Freq1(Hz):	8.106232e+01
Amp1(mV):	2.000000e+02
Phase1(deg):	2.750000e+02
Freq2(Hz):	1.192093e+00
Amp2(mV):	0.000000e+00
Phase2(deg):	0.000000e+00
Freq3(Hz):	1.192093e+00
Amp3(mV):	0.000000e+00
Phase3(deg):	0.000000e+00
Freq4(Hz):	1.192093e+00
Amp4(mV):	0.000000e+00
Phase4(deg):	0.000000e+00
Freq5(Hz):	1.192093e+00
Amp5(mV):	0.000000e+00
Phase5(deg):	0.000000e+00
Freq6(Hz):	1.192093e+00
Amp6(mV):	0.000000e+00
Phase6(deg):	0.000000e+00
Freq7(Hz):	1.192093e+00
Amp7(mV):	0.000000e+00
Phase7(deg):	0.000000e+00
Freq8(Hz):	1.192093e+00
Amp8(mV):	0.000000e+00
Phase8(deg):	0.000000e+00
Type(0-4):	4
Rate(mV/s):	1.668930e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	5.670000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
9.352806e-01	1.772635e-04	7.014400e-03
9.338842e-01	1.723152e-04	7.040000e-03
9.323738e-01	1.693996e-04	7.065600e-03
9.309773e-01	1.652588e-04	7.091200e-03
9.294310e-01	1.615127e-04	7.116800e-03
9.280931e-01	1.578372e-04	7.142400e-03
9.262993e-01	1.525484e-04	7.168000e-03
9.249044e-01	1.485638e-04	7.193600e-03
9.231974e-01	1.445456e-04	7.219200e-03
9.217020e-01	1.405758e-04	7.244800e-03
9.199352e-01	1.374886e-04	7.270400e-03
9.183509e-01	1.349144e-04	7.296000e-03
9.165973e-01	1.299511e-04	7.321600e-03
9.149176e-01	1.257252e-04	7.347200e-03
9.130340e-01	1.217676e-04	7.372800e-03
9.112949e-01	1.188872e-04	7.398400e-03
9.096233e-01	1.156192e-04	7.424000e-03
9.076614e-01	1.106958e-04	7.449600e-03
9.057550e-01	1.081714e-04	7.475200e-03
9.039531e-01	1.048548e-04	7.500800e-03
9.020986e-01	1.013338e-04	7.526400e-03
9.001815e-01	9.794214e-05	7.552000e-03
8.980334e-01	9.393743e-05	7.577600e-03
8.962581e-01	9.053096e-05	7.603200e-03
8.942315e-01	8.812381e-05	7.628800e-03
8.922580e-01	8.506797e-05	7.654400e-03
8.901103e-01	8.119545e-05	7.680000e-03
8.881330e-01	7.762748e-05	7.705600e-03
8.860856e-01	7.436737e-05	7.731200e-03
8.840567e-01	7.125217e-05	7.756800e-03
8.819551e-01	6.775108e-05	7.782400e-03
8.797726e-01	6.451920e-05	7.808000e-03
8.776534e-01	6.153718e-05	7.833600e-03
8.755153e-01	5.906115e-05	7.859200e-03
8.733078e-01	5.572167e-05	7.884800e-03
8.711642e-01	5.199324e-05	7.910400e-03
8.689159e-01	4.858974e-05	7.936000e-03
8.666741e-01	4.453694e-05	7.961600e-03
8.644642e-01	4.067377e-05	7.987200e-03
8.620818e-01	3.703549e-05	8.012800e-03
8.598141e-01	3.462925e-05	8.038400e-03
8.576963e-01	3.114622e-05	8.064000e-03
8.552951e-01	2.731067e-05	8.089600e-03
8.529743e-01	2.398313e-05	8.115200e-03
8.505572e-01	1.878902e-05	8.140800e-03
8.482200e-01	1.518772e-05	8.166400e-03
8.458545e-01	1.125075e-05	8.192000e-03
8.435153e-01	7.689341e-06	8.217600e-03
8.411531e-01	3.519453e-06	8.243200e-03
8.387320e-01	-1.437805e-06	8.268800e-03
8.363374e-01	-5.832531e-06	8.294400e-03
8.338469e-01	-1.178896e-05	8.320000e-03
8.314702e-01	-1.636783e-05	8.345600e-03
8.290755e-01	-2.126847e-05	8.371200e-03
8.266805e-01	-2.661593e-05	8.396800e-03
8.242046e-01	-3.178069e-05	8.422400e-03
8.217864e-01	-3.923304e-05	8.448000e-03
8.192335e-01	-4.596110e-05	8.473600e-03
8.167170e-01	-5.164179e-05	8.499200e-03
8.143451e-01	-5.838901e-05	8.524800e-03
8.118293e-01	-6.559629e-05	8.550400e-03
8.092640e-01	-7.229543e-05	8.576000e-03
8.067849e-01	-7.977366e-05	8.601600e-03
8.043321e-01	-8.784124e-05	8.627200e-03
8.018612e-01	-9.493622e-05	8.652800e-03
7.991820e-01	-1.043864e-04	8.678400e-03
7.967575e-01	-1.129605e-04	8.704000e-03
7.942327e-01	-1.215643e-04	8.729600e-03
7.917387e-01	-1.314819e-04	8.755200e-03
7.892039e-01	-1.405833e-04	8.780800e-03
7.865712e-01	-1.514034e-04	8.806400e-03
7.840112e-01	-1.609031e-04	8.832000e-03
7.815093e-01	-1.704277e-04	8.857600e-03
7.789581e-01	-1.806577e-04	8.883200e-03
7.764684e-01	-1.914487e-04	8.908800e-03
7.738460e-01	-2.019208e-04	8.934400e-03
7.713112e-01	-2.120385e-04	8.960000e-03
7.687314e-01	-2.226932e-04	8.985600e-03
7.661361e-01	-2.329376e-04	9.011200e-03
7.635332e-01	-2.432180e-04	9.036800e-03
7.610255e-01	-2.533644e-04	9.062400e-03
7.584209e-01	-2.640056e-04	9.088000e-03
7.558978e-01	-2.747937e-04	9.113600e-03
7.531431e-01	-2.841843e-04	9.139200e-03
7.506583e-01	-2.934285e-04	9.164800e-03
7.480342e-01	-3.028887e-04	9.190400e-03
7.454085e-01	-3.110283e-04	9.216000e-03
7.427840e-01	-3.190325e-04	9.241600e-03
7.403675e-01	-3.258260e-04	9.267200e-03
7.377445e-01	-3.325977e-04	9.292800e-03
7.351298e-01	-3.399299e-04	9.318400e-03
7.325720e-01	-3.449465e-04	9.344000e-03
7.300647e-01	-3.507778e-04	9.369600e-03
7.273735e-01	-3.547515e-04	9.395200e-03
7.248331e-01	-3.578856e-04	9.420800e-03
7.221105e-01	-3.599795e-04	9.446400e-03
7.197758e-01	-3.600353e-04	9.472000e-03
7.171283e-01	-3.600817e-04	9.497600e-03
7.147121e-01	-3.599988e-04	9.523200e-03
7.121887e-01	-3.600804e-04	9.548800e-03
7.096421e-01	-3.599733e-04	9.574400e-03
7.071787e-01	-3.600992e-04	9.600000e-03
7.048172e-01	-3.599038e-04	9.625600e-03
7.022159e-01	-3.602467e-04	9.651200e-03
6.998019e-01	-3.578002e-04	9.676800e-03
6.971676e-01	-3.551020e-04	9.702400e-03
6.948618e-01	-3.512534e-04	9.728000e-03
6.925048e-01	-3.464731e-04	9.753600e-03
6.901464e-01	-3.438423e-04	9.779200e-03
6.876737e-01	-3.400059e-04	9.804800e-03
6.853458e-01	-3.352072e-04	9.830400e-03
6.829458e-01	-3.309086e-04	9.856000e-03
6.806515e-01	-3.272608e-04	9.881600e-03
6.782365e-01	-3.228942e-04	9.907200e-03
6.760339e-01	-3.180081e-04	9.932800e-03
6.737238e-01	-3.126141e-04	9.958400e-03
6.715646e-01	-3.083904e-04	9.984000e-03
6.691685e-01	-3.050165e-04	1.000960e-02
6.670197e-01	-3.004156e-04	1.003520e-02
6.646957e-01	-2.960867e-04	1.006080e-02
6.625543e-01	-2.919602e-04	1.008640e-02
6.602603e-01	-2.877432e-04	1.011200e-02
6.582369e-01	-2.826582e-04	1.013760e-02
6.561225e-01	-2.776546e-04	1.016320e-02
6.541352e-01	-2.751018e-04	1.018880e-02
6.518987e-01	-2.721047e-04	1.021440e-02
6.498921e-01	-2.682730e-04	1.024000e-02
6.477492e-01	-2.640199e-04	1.026560e-02
6.457965e-01	-2.597695e-04	1.029120e-02
6.436727e-01	-2.569982e-04	1.031680e-02
6.417263e-01	-2.532547e-04	1.034240e-02
6.397060e-01	-2.496995e-04	1.036800e-02
6.378820e-01	-2.463671e-04	1.039360e-02
6.357858e-01	-2.434958e-04	1.041920e-02
6.339533e-01	-2.407422e-04	1.044480e-02
6.320375e-01	-2.367608e-04	1.047040e-02
6.303433e-01	-2.330815e-04	1.049600e-02
6.284013e-01	-2.303493e-04	1.052160e-02
6.265998e-01	-2.292155e-04	1.054720e-02
6.246433e-01	-2.256677e-04	1.057280e-02
6.230896e-01	-2.222514e-04	1.059840e-02
6.213070e-01	-2.190788e-04	1.062400e-02
6.196766e-01	-2.169068e-04	1.064960e-02
6.176788e-01	-2.151627e-04	1.067520e-02
6.162102e-01	-2.113162e-04	1.070080e-02
6.145120e-01	-2.086770e-04	1.072640e-02
6.129915e-01	-2.058308e-04	1.075200e-02
6.113225e-01	-2.036552e-04	1.077760e-02
6.098073e-01	-2.015913e-04	1.080320e-02
6.081242e-01	-1.989724e-04	1.082880e-02
6.068173e-01	-1.959375e-04	1.085440e-02
6.052626e-01	-1.942459e-04	1.088000e-02
6.038270e-01	-1.919578e-04	1.090560e-02
6.024255e-01	-1.888769e-04	1.093120e-02
6.010544e-01	-1.874673e-04	1.095680e-02
5.995350e-01	-1.849197e-04	1.098240e-02
5.983508e-01	-1.823520e-04	1.100800e-02
5.968632e-01	-1.793488e-04	1.103360e-02
5.957833e-01	-1.778984e-04	1.105920e-02
5.944281e-01	-1.757638e-04	1.108480e-02
5.933142e-01	-1.736261e-04	1.111040e-02
5.919155e-01	-1.715270e-04	1.113600e-02
5.909757e-01	-1.690269e-04	1.116160e-02
5.896313e-01	-1.681105e-04	1.118720e-02
5.886906e-01	-1.647338e-04	1.121280e-02
5.875729e-01	-1.623750e-04	1.123840e-02
5.866157e-01	-1.607244e-04	1.126400e-02
5.854467e-01	-1.581409e-04	1.128960e-02
5.846042e-01	-1.560133e-04	1.131520e-02
5.836585e-01	-1.539900e-04	1.134080e-02
5.828409e-01	-1.528034e-04	1.136640e-02
5.817426e-01	-1.506153e-04	1.139200e-02
5.810289e-01	-1.486471e-04	1.141760e-02
5.800472e-01	-1.473130e-04	1.144320e-02
5.794065e-01	-1.440239e-04	1.146880e-02
5.784686e-01	-1.429046e-04	1.149440e-02
5.779309e-01	-1.407095e-04	1.152000e-02
5.771357e-01	-1.361538e-04	1.154560e-02
5.766518e-01	-1.359253e-04	1.157120e-02
5.758542e-01	-1.344118e-04	1.159680e-02
5.754190e-01	-1.323422e-04	1.162240e-02
5.747517e-01	-1.313622e-04	1.164800e-02
5.742414e-01	-1.295814e-04	1.167360e-02
5.736296e-01	-1.263041e-04	1.169920e-02
5.733343e-01	-1.240098e-04	1.172480e-02
5.727418e-01	-1.232481e-04	1.175040e-02
5.725732e-01	-1.217948e-04	1.177600e-02
5.719686e-01	-1.191436e-04	1.180160e-02
5.719071e-01	-1.154735e-04	1.182720e-02
5.715862e-01	-1.147770e-04	1.185280e-02
5.713501e-01	-1.134712e-04	1.187840e-02
5.708926e-01	-1.117361e-04	1.190400e-02
5.708844e-01	-1.096311e-04	1.192960e-02
5.706019e-01	-1.072265e-04	1.195520e-02
5.706320e-01	-1.059196e-04	1.198080e-02
5.703684e-01	-1.039275e-04	1.200640e-02
